DRIVER_ID,DRIVER,DRIVER_CODE,CONSTRUCTOR_ID,CONSTRUCTOR,RACE_ID,RACE,YEAR,AVG_LAP_TIME,GAP_TO_FASTEST
4,Fernando Alonso,ALO,117,Aston Martin,1104,Monaco Grand Prix,2023,84101.294872,3.318823174000
847,George Russell,RUS,131,Mercedes,1102,Miami Grand Prix,2023,92832.807018,0.582964913000
846,Lando Norris,NOR,1,McLaren,1111,Dutch Grand Prix,2023,120245.041667,36.029880377000
825,Kevin Magnussen,MAG,210,Haas F1 Team,1115,Qatar Grand Prix,2023,93935.964286,1.669859023000
848,Alexander Albon,ALB,3,Williams,1119,Las Vegas Grand Prix,2023,107833.740000,0.867960000000
825,Kevin Magnussen,MAG,210,Haas F1 Team,1119,Las Vegas Grand Prix,2023,107862.280000,0.896500000000
852,Yuki Tsunoda,TSU,215,RB F1 Team,1123,Australian Grand Prix,2024,84869.724138,1.648293104000
832,Carlos Sainz,SAI,6,Ferrari,1123,Australian Grand Prix,2024,83221.431034,0.000000000000
4,Fernando Alonso,ALO,117,Aston Martin,1124,Japanese Grand Prix,2024,130336.566038,0.835320755000
844,Charles Leclerc,LEC,6,Ferrari,1125,Chinese Grand Prix,2024,108503.160714,4.370529135000
817,Daniel Ricciardo,RIC,215,RB F1 Team,1126,Miami Grand Prix,2024,96505.824561,0.893964912000
844,Charles Leclerc,LEC,6,Ferrari,1127,Emilia Romagna Grand Prix,2024,81478.857143,0.125650794000
855,Guanyu Zhou,ZHO,15,Sauber,1128,Monaco Grand Prix,2024,113826.500000,3.627089744000
855,Guanyu Zhou,ZHO,15,Sauber,1130,Spanish Grand Prix,2024,81780.046154,1.473576457000
840,Lance Stroll,STR,117,Aston Martin,1138,Singapore Grand Prix,2024,100002.327869,2.380214966000
807,Nico Hülkenberg,HUL,210,Haas F1 Team,1140,Mexico City Grand Prix,2024,86550.285714,1.257327968000
839,Esteban Ocon,OCO,214,Alpine F1 Team,1141,São Paulo Grand Prix,2024,110636.333333,20.360966666000
860,Oliver Bearman,BEA,210,Haas F1 Team,1141,São Paulo Grand Prix,2024,111181.376812,20.906010145000
822,Valtteri Bottas,BOT,3,Williams,964,Japanese Grand Prix,2016,100031.245283,1.855150943000
832,Carlos Sainz,SAI,5,Toro Rosso,966,Mexican Grand Prix,2016,87032.328571,2.083004627000
20,Sebastian Vettel,VET,6,Ferrari,970,Chinese Grand Prix,2017,104685.857143,0.111607143000
838,Stoffel Vandoorne,VAN,1,McLaren,973,Spanish Grand Prix,2017,90436.812500,3.217160985000
838,Stoffel Vandoorne,VAN,1,McLaren,978,British Grand Prix,2017,97933.180000,2.101219216000
13,Felipe Massa,MAS,3,Williams,978,British Grand Prix,2017,97854.580000,2.022619216000
8,Kimi Räikkönen,RAI,6,Ferrari,979,Hungarian Grand Prix,2017,85537.442857,0.012971428000
8,Kimi Räikkönen,RAI,6,Ferrari,980,Belgian Grand Prix,2017,115847.522727,3.942951298000
4,Fernando Alonso,ALO,1,McLaren,982,Singapore Grand Prix,2017,164392.375000,36.745064655000
20,Sebastian Vettel,VET,6,Ferrari,985,United States Grand Prix,2017,100734.535714,0.181125000000
845,Sergey Sirotkin,SIR,3,Williams,990,Bahrain Grand Prix,2018,99637.053571,2.760913220000
843,Brendon Hartley,HAR,5,Toro Rosso,991,Chinese Grand Prix,2018,104416.823529,1.981466386000
154,Romain Grosjean,GRO,210,Haas F1 Team,1004,Russian Grand Prix,2018,101586.980769,2.621301524000
844,Charles Leclerc,LEC,15,Sauber,1008,Brazilian Grand Prix,2018,74271.338028,0.622521127000
847,George Russell,RUS,3,Williams,1010,Australian Grand Prix,2019,92446.517857,4.044362685000
846,Lando Norris,NOR,1,McLaren,1017,French Grand Prix,2019,97734.461538,2.051480406000
844,Charles Leclerc,LEC,6,Ferrari,1022,Belgian Grand Prix,2019,114220.681818,0.000000000000
844,Charles Leclerc,LEC,6,Ferrari,1034,British Grand Prix,2020,101918.403846,0.355269231000
817,Daniel Ricciardo,RIC,4,Renault,1040,Russian Grand Prix,2020,107309.981132,0.888018868000
20,Sebastian Vettel,VET,6,Ferrari,1041,Eifel Grand Prix,2020,96507.516667,1.851540477000
846,Lando Norris,NOR,1,McLaren,1045,Bahrain Grand Prix,2020,126295.649123,0.198894737000
153,Jaime Alguersuari,ALG,5,Toro Rosso,845,Spanish Grand Prix,2011,93028.265625,2.978250473000
17,Mark Webber,WEB,9,Red Bull,853,Italian Grand Prix,2011,123678.750000,32.241542453000
24,Vitantonio Liuzzi,LIU,164,HRT,859,Brazilian Grand Prix,2011,82575.065574,4.582614870000
1,Lewis Hamilton,HAM,1,McLaren,863,Bahrain Grand Prix,2012,101227.614035,1.034807017000
3,Nico Rosberg,ROS,131,Mercedes,864,Spanish Grand Prix,2012,91319.151515,1.180590909000
818,Jean-Éric Vergne,VER,5,Toro Rosso,864,Spanish Grand Prix,2012,91632.323077,1.493762471000
807,Nico Hülkenberg,HUL,10,Force India,866,Canadian Grand Prix,2012,79940.314286,0.660514286000
30,Michael Schumacher,MSC,131,Mercedes,867,European Grand Prix,2012,109987.508772,0.865354926000
814,Paul di Resta,DIR,10,Force India,874,Japanese Grand Prix,2012,102258.528302,1.574716981000
3,Nico Rosberg,ROS,131,Mercedes,876,Indian Grand Prix,2012,92540.633333,1.361566666000
18,Jenson Button,BUT,1,McLaren,879,Brazilian Grand Prix,2012,89051.492958,3.730492958000
813,Pastor Maldonado,MAL,3,Williams,882,Chinese Grand Prix,2013,105042.821429,1.704517858000
821,Esteban Gutiérrez,GUT,15,Sauber,882,Chinese Grand Prix,2013,106847.500000,3.509196429000
815,Sergio Pérez,PER,1,McLaren,887,British Grand Prix,2013,109371.652174,2.981310711000
818,Jean-Éric Vergne,VER,5,Toro Rosso,887,British Grand Prix,2013,108945.057143,2.554715680000
817,Daniel Ricciardo,RIC,5,Toro Rosso,894,Korean Grand Prix,2013,113783.461538,3.595753205000
3,Nico Rosberg,ROS,131,Mercedes,896,Indian Grand Prix,2013,91700.166667,0.497050000000
817,Daniel Ricciardo,RIC,9,Red Bull,903,Chinese Grand Prix,2014,104281.928571,0.481750000000
828,Marcus Ericsson,ERI,207,Caterham,903,Chinese Grand Prix,2014,108325.018519,4.524839948000
815,Sergio Pérez,PER,10,Force India,904,Spanish Grand Prix,2014,93578.107692,1.681819813000
23,Ralf Schumacher,SCH,7,Toyota,80,French Grand Prix,2005,79889.217391,1.571603105000
8,Kimi Räikkönen,RAI,1,McLaren,81,British Grand Prix,2005,84733.733333,0.240600000000
39,Narain Karthikeyan,KAR,17,Jordan,86,Belgian Grand Prix,2005,126836.511628,6.766811628000
13,Felipe Massa,MAS,15,Sauber,88,Japanese Grand Prix,2005,101881.528302,1.085075472000
23,Ralf Schumacher,SCH,7,Toyota,53,Bahrain Grand Prix,2006,96866.571429,2.371746868000
31,Juan Pablo Montoya,MON,1,McLaren,58,Spanish Grand Prix,2006,80894.823529,2.383323529000
31,Juan Pablo Montoya,MON,1,McLaren,61,Canadian Grand Prix,2006,87185.153846,6.472188329000
35,Jacques Villeneuve,VIL,2,BMW Sauber,62,United States Grand Prix,2006,85154.826087,7.412374032000
26,Scott Speed,SPE,5,Toro Rosso,63,French Grand Prix,2006,80602.782609,1.634168323000
23,Ralf Schumacher,SCH,7,Toyota,67,Italian Grand Prix,2006,86602.250000,1.848004717000
9,Robert Kubica,KUB,2,BMW Sauber,38,Bahrain Grand Prix,2007,99176.210526,0.798754386000
25,Alexander Wurz,WUR,3,Williams,39,Spanish Grand Prix,2007,136740.000000,52.182615385000
25,Alexander Wurz,WUR,3,Williams,44,British Grand Prix,2007,85425.103448,2.322154295000
18,Jenson Button,BUT,11,Honda,25,French Grand Prix,2008,86318.937500,7.601151786000
7,Sébastien Bourdais,BOU,5,Toro Rosso,29,European Grand Prix,2008,102142.684211,1.575333334000
20,Sebastian Vettel,VET,5,Toro Rosso,30,Belgian Grand Prix,2008,113499.318182,2.479484849000
63,Mika Salo,SAL,25,Tyrrell,209,Argentine Grand Prix,1997,95472.126761,2.114973983000
14,David Coulthard,COU,1,McLaren,210,San Marino Grand Prix,1997,89779.421053,1.704050085000
63,Mika Salo,SAL,25,Tyrrell,210,San Marino Grand Prix,1997,91085.566667,3.010195699000
22,Rubens Barrichello,BAR,24,Stewart,215,British Grand Prix,1997,92391.594595,2.871848832000
81,Gianni Morbidelli,MOR,15,Sauber,220,Austrian Grand Prix,1997,74964.140845,0.935985915000
55,Jean Alesi,ALE,22,Benetton,222,Japanese Grand Prix,1997,102431.113208,0.762339623000
21,Giancarlo Fisichella,FIS,22,Benetton,192,Brazilian Grand Prix,1998,82247.521127,1.251035016000
44,Olivier Panis,PAN,20,Prost,193,Argentine Grand Prix,1998,91997.876923,1.495446367000
23,Ralf Schumacher,SCH,17,Jordan,194,San Marino Grand Prix,1998,94579.833333,3.215430107000
35,Jacques Villeneuve,VIL,3,Williams,197,Canadian Grand Prix,1998,96422.285714,8.634517598000
21,Giancarlo Fisichella,FIS,22,Benetton,198,French Grand Prix,1998,82187.000000,2.116197183000
57,Mika Häkkinen,HÄK,1,McLaren,198,French Grand Prix,1998,80348.929577,0.278126760000
49,Heinz-Harald Frentzen,FRE,3,Williams,200,Austrian Grand Prix,1998,82816.500000,6.139232394000
35,Jacques Villeneuve,VIL,16,BAR,175,Australian Grand Prix,1999,96944.923077,2.079538462000
21,Giancarlo Fisichella,FIS,22,Benetton,176,Brazilian Grand Prix,1999,81603.736842,1.551167398000
48,Marc Gené,GEN,18,Minardi,186,Belgian Grand Prix,1999,120454.813953,3.567154862000
14,David Coulthard,COU,1,McLaren,189,Malaysian Grand Prix,1999,104343.071429,0.798535715000
68,Toranosuke Takagi,TAK,21,Arrows,189,Malaysian Grand Prix,1999,131728.714286,28.184178572000
63,Mika Salo,SAL,15,Sauber,160,San Marino Grand Prix,2000,90480.934426,1.774869910000
30,Michael Schumacher,MSC,6,Ferrari,163,European Grand Prix,2000,91347.865672,1.480865672000
64,Pedro Diniz,DIN,15,Sauber,168,German Grand Prix,2000,111449.931034,2.586181034000
4,Fernando Alonso,ALO,18,Minardi,141,Australian Grand Prix,2001,105930.553571,8.815303571000
50,Jos Verstappen,VER,21,Arrows,143,Brazilian Grand Prix,2001,81183.351351,2.114114509000
44,Olivier Panis,PAN,16,BAR,145,Spanish Grand Prix,2001,85050.476923,1.698164423000
20,Sebastian Vettel,VET,117,Aston Martin,1053,Emilia Romagna Grand Prix,2021,119328.590164,17.363756831000
839,Esteban Ocon,OCO,214,Alpine F1 Team,1058,Styrian Grand Prix,2021,71299.414286,1.737090342000
4,Fernando Alonso,ALO,214,Alpine F1 Team,1061,British Grand Prix,2021,137988.019231,1.386403846000
815,Sergio Pérez,PER,9,Red Bull,1063,Belgian Grand Prix,2021,245276.000000,38.205000000000
844,Charles Leclerc,LEC,6,Ferrari,1064,Dutch Grand Prix,2021,76368.661972,1.293731416000
849,Nicholas Latifi,LAT,3,Williams,1065,Italian Grand Prix,2021,93171.849057,5.482449057000
815,Sergio Pérez,PER,9,Red Bull,1069,United States Grand Prix,2021,102120.982143,0.753982143000
815,Sergio Pérez,PER,9,Red Bull,1051,Qatar Grand Prix,2021,90013.631579,1.093087719000
